"Site","Landuse_type","k_micro","stream.width","Temp","pH","O2","EC","NO2","NO3","P","velo","inv_decomp"
"F1","F",0.001751981,1.67,11.25366053,7.56,10.13,195,0.0025,3,0.1,0.685565460040104,0.00015636
"F2","F",0.001032198,1.6,11.18348563,7.87,10.04,184,0.0025,3,0.1,0.469041575982343,0.00426527
"F4","F",0.000617878,2.5,11.25366053,7.93,9.83,229,0.005,3,0.075,0.506622805447998,0.000793005
"F5","F",0.000741704,1.8,11.25366053,7.16,10.99,59,0.0025,1,0.05,0.562731434167312,0.00013903
"F6","F",0.000931658,1.4,12.02780368,7.53,10.99,134,0.0025,2,0.7,0.509901951359279,0.00367395
"F8","F",0.000816527,2.1,12.02780368,7.45,11.01,127,0.0025,1,0.1,0.734846922834953,0.002155129
"F9","F",0.002292741,1.8,12.02780368,7.09,10.99,130,0.0025,3,0.15,0.489897948556636,0.001170707
"F11","F",0.000829443,3.8,11.25366053,7.01,10.92,88,0.005,3,0.15,0.877496438739212,0.001053162
"NEU2","V",0.000448597,1,12.61211737,7.94,5.3,1290,0.1,60,0.35,0.1,0.000276008
"V13","V",0.000809561,1.5,12.49898263,7.7,9.93,222,0.07,4,0.3,0.458257569495584,0.003371018
"V14","V",0.000930603,1.7,12.65605579,7.72,9.25,324,0.04,4,0.2,0.317104960541459,0.003154974
"V15","V",0.000737382,1.1,13.64497895,8.14,8.08,623,0.04,8,0.6,0.223606797749979,0.000531149
"V18","V",0.000536476,0.8,12.67646826,8.03,8.19,666,0.08,5,0.4,0.351188457953846,0.003073973
"V19","V",0.001562277,1.4,12.67646826,7.84,10.47,284,0.015,1,0.4,0.469041575982343,0.001693627
"V41","V",0.000504784,1.2,12.65605579,8.15,8.84,826,0.02,30,0.3,0.1,0
"A22","A",0.000582872,1.5,12.62248316,7.97,9.6,770,0.08,15,0.2,0.282842712474619,0.000434423
"A23","A",0.00072925,1.7,12.31249316,8.26,7.3,832,0.01,10,0.2,0.479583152331272,0.001024309
"A24","A",0.000387797,1.4,13.07646211,7.98,8.5,1083,0.1,40,0.3,0.321455024847956,0.001730785
"A25","A",0.000890792,2.3,12.04237632,7.88,9.43,310,0.005,3,0.2,0.503322295353584,0.001874914
"A26","A",9.05e-06,1.8,12.04237632,8.25,10.12,947,0.02,80,0.1,0.404145188020345,0.005749706
"A27","A",0.000556583,2.4,13.07646211,8.02,9.58,557,0.014,25,0.15,0.33166247903554,0.001182489
"A29","A",0.000954251,1.1,12.31249316,8.09,8.46,1073,0.08,20,0.8,0.5,0.002935642
"A30","A",0.000927294,2.8,13.07646211,7.74,9.3,530,0.1,20,0.025,0.258198890392658,0.000137737
"U31","U",0.000938944,3.5,13.84210105,7.54,8.96,1070,0.1,4,0.1,0.58309518948453,0.001138346
"U33","U",0.001808742,2.4,13.02658,7.51,10.61,356,0.07,5,0.15,0.591607978309962,0
"U35","U",0.000881961,2.7,12.41454211,7.9,8.98,110,0.03,5,0.3,0.404145188020345,0.003171287
"U37","U",0.000761752,8,11.25366053,7.41,9.91,195,0.3,3,0.2,0.721110255092798,0
"U39","U",0.001416282,4,11.25366053,7.6,8.72,379,0.06,3,1,0.932737905308881,0.003261443
"U40","U",0.00170013,11.2,12.16710421,7.51,10.83,150,0.015,3,0.4,0.903696114299492,0.002613058
